event_id,month,group,income,debt_ratio,history_months,late_payments,requested_amount,employment_years,default
sim-000105,0,group_b,30740.16,0.2924,52.8,0,11210.3,2.2,0
sim-000106,0,group_a,20736.74,0.3928,190.1,0,12034.42,3.4,0
sim-000107,0,group_a,58461.87,0.3027,103.4,3,10126.78,7.3,1
sim-000108,0,group_a,27952.52,0.3826,129.5,1,12360.85,8.4,0
sim-000109,0,group_b,39756.76,0.3766,55.3,1,9820.25,5.6,0
sim-000110,0,group_a,49187.5,0.3683,48.2,1,18042.34,7.2,1
sim-000111,0,group_a,42154.4,0.1402,83.1,1,13770.4,6.4,1
sim-000112,0,group_a,13731.02,0.091,68.5,0,5854.12,4.4,0
sim-000113,0,group_a,46260.78,0.108,51.2,0,5734.38,4.2,0
sim-000114,0,group_a,33115.02,0.4567,51.6,1,7632.21,6.2,1
sim-000115,0,group_b,30085.78,0.4712,30.6,3,8047.0,4.9,0
sim-000116,0,group_b,32997.55,0.5383,104.9,1,5766.48,9.3,1
sim-000117,0,group_b,17567.15,0.2414,95.5,0,4941.2,9.6,0
sim-000118,0,group_a,37448.12,0.4449,17.8,6,7245.75,5.3,1
sim-000119,0,group_b,19476.34,0.7373,94.7,1,5812.9,4.5,0
sim-000120,0,group_b,30636.5,0.6124,153.4,2,8334.06,7.9,0
sim-000121,0,group_b,36887.61,0.1717,97.6,2,2570.38,8.9,0
sim-000122,0,group_a,54235.75,0.1982,47.1,0,13932.72,0.8,0
sim-000123,0,group_a,24483.69,0.2152,74.1,1,6858.56,7.8,0
sim-000124,0,group_a,63555.37,0.1134,23.4,1,9482.32,13.1,0
sim-000125,0,group_a,51414.65,0.2632,39.6,0,2449.94,9.5,0
sim-000126,0,group_a,28843.73,0.2145,94.6,0,8433.83,6.0,0
sim-000127,0,group_a,21683.9,0.1961,38.6,2,7530.81,17.0,0
sim-000128,0,group_a,18837.36,0.7922,57.4,0,7870.08,7.8,1
sim-000129,0,group_b,38720.97,0.2488,62.1,4,8912.32,4.4,1
sim-000130,0,group_a,25345.1,0.7086,93.1,0,6111.91,10.1,0
sim-000131,0,group_b,57166.87,0.2933,57.9,0,9766.66,5.4,1
sim-000132,0,group_b,25967.47,0.3308,39.3,0,2118.03,10.1,1
sim-000133,0,group_a,23664.19,0.3523,75.6,1,9281.1,6.9,0
sim-000134,0,group_b,38105.85,0.2719,31.8,4,8874.36,5.7,0
sim-000135,0,group_a,25896.43,0.1764,122.1,0,17515.42,6.7,0
sim-000136,0,group_b,34668.65,0.1669,30.7,0,9313.06,3.6,0
sim-000137,0,group_a,52266.74,0.1528,97.5,1,2544.83,4.0,0
sim-000138,0,group_b,36287.78,0.6193,83.8,2,6405.22,8.3,1
sim-000139,0,group_a,36344.75,0.1594,97.0,1,6437.32,8.6,0
sim-000140,0,group_a,37652.76,0.5954,37.4,1,7708.7,13.0,1
sim-000141,0,group_a,16964.84,0.5223,45.4,0,6826.94,6.6,0
sim-000142,0,group_b,40723.96,0.3464,48.4,1,8390.83,7.9,0
sim-000143,0,group_a,36944.47,0.1407,57.3,0,5027.9,1.9,1
sim-000144,0,group_a,50262.62,0.1892,31.6,2,17981.74,3.0,0
sim-000145,0,group_a,44553.26,0.2377,62.9,0,7632.93,4.9,0
sim-000146,0,group_a,31735.19,0.4235,63.5,3,24044.08,6.2,1
sim-000147,0,group_a,53295.38,0.4009,95.7,0,4127.78,3.4,0
sim-000148,0,group_a,30549.24,0.0413,60.9,0,6559.75,8.8,0
sim-000149,0,group_a,38323.02,0.2193,22.4,1,11723.25,5.6,1
sim-000150,0,group_b,30312.55,0.2084,26.2,1,3854.24,5.0,0
sim-000151,0,group_b,41937.61,0.2076,42.0,1,14849.25,7.7,0
sim-000152,0,group_a,29492.0,0.5144,56.3,4,8720.93,7.0,1
sim-000153,0,group_a,69007.58,0.2724,133.7,1,8656.39,4.6,0
sim-000154,0,group_a,80603.1,0.1017,106.2,0,15617.31,7.8,0
sim-000155,0,group_b,49863.97,0.4406,53.4,2,6440.33,5.1,1
sim-000156,0,group_a,65995.68,0.2829,43.4,0,6108.04,6.0,0
sim-000157,0,group_b,18097.52,0.5558,63.8,1,6604.26,9.6,0
sim-000158,0,group_b,19015.72,0.3496,63.7,1,6934.54,10.1,1
sim-000159,0,group_b,30180.3,0.2984,60.4,3,4334.22,7.5,1
sim-000160,0,group_a,35147.79,0.1559,30.8,1,9817.13,6.7,0
sim-000161,0,group_b,31785.1,0.515,49.5,0,6789.13,5.2,1
sim-000162,0,group_a,17331.89,0.3748,48.5,1,7357.26,4.2,1
sim-000163,0,group_a,56031.46,0.2332,73.2,0,7437.72,17.9,0
sim-000164,0,group_a,85371.13,0.3281,105.5,3,12117.85,12.8,0
sim-000165,0,group_a,59160.82,0.0392,48.5,0,9465.35,4.8,0
sim-000166,0,group_b,54498.03,0.2453,70.8,0,10249.14,7.9,1
sim-000167,0,group_b,37985.9,0.4187,10.2,1,7450.98,9.7,1
sim-000168,0,group_a,24244.4,0.324,68.9,2,10353.42,2.9,1
sim-000169,0,group_b,35612.85,0.3221,15.3,3,21685.01,6.0,1
sim-000170,0,group_a,83645.84,0.3617,35.9,0,14599.91,7.0,0
sim-000171,0,group_a,29797.06,0.4364,43.9,0,5063.4,15.1,0
sim-000172,0,group_a,28535.89,0.3585,72.9,0,14343.85,6.5,0
sim-000173,0,group_b,54998.85,0.3397,63.8,2,10204.17,2.3,0
sim-000174,0,group_a,56553.83,0.2749,21.6,0,8199.55,10.2,0
sim-000175,0,group_a,24194.52,0.2033,73.4,0,12171.28,9.7,0
sim-000176,0,group_a,30951.49,0.5274,131.6,1,11311.74,6.0,1
sim-000177,0,group_b,27978.73,0.2411,30.1,0,8982.02,4.2,0
sim-000178,0,group_b,35570.42,0.17,48.1,1,6779.03,6.7,0
sim-000179,0,group_b,54915.36,0.2004,56.0,0,5584.59,7.0,1
sim-000180,0,group_b,24644.49,0.1678,54.1,0,12288.33,10.2,0
sim-000181,0,group_b,54592.91,0.3017,94.0,1,9650.57,5.5,0
sim-000182,0,group_a,36051.13,0.15,82.9,0,7106.66,11.9,1
sim-000183,0,group_a,91766.33,0.2652,69.1,1,8026.25,4.1,0
sim-000184,0,group_b,39494.19,0.5559,57.4,1,6741.63,8.2,1
sim-000185,0,group_b,33166.45,0.3478,83.2,2,4873.34,2.8,0
sim-000186,0,group_a,43975.16,0.2833,20.3,1,15011.8,7.3,1
sim-000187,0,group_a,29983.38,0.0826,140.6,0,8675.41,3.7,1
sim-000188,0,group_b,16252.23,0.3242,96.2,0,3152.57,4.4,1
sim-000189,0,group_a,31225.21,0.024,101.6,2,11835.73,3.2,0
sim-000190,0,group_b,31019.05,0.442,161.2,1,9452.45,7.7,0
sim-000191,0,group_a,17698.35,0.0682,94.7,1,10715.18,4.2,0
sim-000192,0,group_a,33500.82,0.0699,33.2,0,13865.46,2.0,0
sim-000193,0,group_b,14498.69,0.3482,66.7,1,7515.81,2.2,1
sim-000194,0,group_a,29850.94,0.2855,93.4,4,8736.62,13.3,1
sim-000195,0,group_a,38265.74,0.4662,65.9,2,4191.24,8.7,1
sim-000196,0,group_b,35980.72,0.4528,69.7,3,6236.84,3.5,0
sim-000197,0,group_b,29066.77,0.1916,108.0,2,12967.57,1.0,0
sim-000198,0,group_a,33325.47,0.2815,57.0,1,7959.98,3.0,0
sim-000199,0,group_a,24851.99,0.2441,119.7,2,6720.12,7.7,0
sim-000200,0,group_b,34701.66,0.5371,45.4,2,9279.15,10.6,0
sim-000201,0,group_b,35397.49,0.3491,69.9,0,5168.78,15.1,0
sim-000202,0,group_a,23668.37,0.2308,22.3,1,6141.56,6.4,0
sim-000203,0,group_a,38655.09,0.2495,22.3,0,12046.22,3.5,1
sim-000204,0,group_a,38553.81,0.0467,178.8,1,3447.73,2.5,0
sim-000205,0,group_a,32215.14,0.5787,65.8,1,6268.54,5.5,1
sim-000206,0,group_a,95496.01,0.6449,56.7,1,8557.59,1.3,1
sim-000207,0,group_b,32562.12,0.6327,73.3,2,9887.7,4.4,1
sim-000208,0,group_a,30721.61,0.1245,83.7,2,5314.9,10.2,0
sim-000209,0,group_a,28928.86,0.3991,35.6,0,10394.61,9.9,0
sim-000210,0,group_b,22976.0,0.4326,94.7,1,8278.8,3.6,1
sim-000211,0,group_b,46077.35,0.4469,50.8,1,15119.0,7.6,0
sim-000212,0,group_a,25894.25,0.2184,172.4,1,11210.62,7.2,0
sim-000213,0,group_b,27213.32,0.3246,70.2,2,7188.4,3.3,0
sim-000214,0,group_b,27554.98,0.3015,16.0,0,14051.87,6.5,0
sim-000215,0,group_b,22841.26,0.4391,48.8,3,8273.54,1.6,0
sim-000216,0,group_a,16556.68,0.4696,69.9,2,10001.4,2.5,0
sim-000217,0,group_a,28440.38,0.1898,29.1,3,6119.97,7.1,0
sim-000218,0,group_b,49851.35,0.1408,78.2,0,5102.56,1.6,0
sim-000219,0,group_a,37523.83,0.3933,84.4,0,3814.64,1.1,0
sim-000220,0,group_a,66532.22,0.042,58.1,1,6166.87,8.6,0
sim-000221,0,group_a,47353.77,0.4955,15.5,2,8112.08,1.3,1
sim-000222,0,group_b,43047.75,0.4299,145.1,0,6011.15,3.3,0
sim-000223,0,group_b,76169.21,0.5445,25.6,2,9204.54,13.1,1
sim-000224,0,group_a,33163.29,0.2731,50.8,0,7407.1,2.3,0
sim-000225,0,group_b,35471.75,0.2674,91.5,3,8117.5,8.1,0
sim-000226,0,group_a,34378.44,0.2546,81.4,2,14751.07,4.0,0
sim-000227,0,group_a,66064.74,0.2953,18.8,0,16826.88,5.7,1
sim-000228,0,group_b,34580.89,0.1958,41.3,0,3887.86,3.3,0
sim-000229,0,group_a,26310.5,0.2543,40.9,2,4626.42,9.1,0
sim-000230,0,group_a,44215.19,0.533,66.5,1,8813.7,6.9,0
sim-000231,0,group_a,24518.2,0.6127,34.6,1,6680.31,8.5,1
sim-000232,0,group_b,43219.97,0.1297,65.9,0,3867.68,9.2,0
sim-000233,0,group_b,41102.05,0.1157,95.5,1,9833.77,8.3,0
sim-000234,0,group_b,31902.86,0.6935,48.2,1,4671.43,5.8,1
sim-000235,0,group_b,43811.03,0.2288,59.3,0,11284.25,6.0,0
sim-000236,0,group_a,18492.64,0.0692,76.6,1,13135.65,3.2,0
sim-000237,0,group_b,36991.52,0.3821,117.1,0,14292.94,5.1,0
sim-000238,0,group_a,28442.46,0.2186,79.6,0,5666.67,7.5,0
sim-000239,0,group_a,114938.3,0.1135,46.2,2,8211.84,4.1,0
sim-000240,0,group_b,36880.81,0.3054,102.9,0,14099.45,5.0,0
sim-000241,0,group_b,26890.15,0.2498,92.6,0,2841.7,1.5,0
sim-000242,0,group_a,19362.88,0.3258,101.3,2,4620.65,3.0,1
sim-000243,0,group_a,59770.69,0.1466,53.5,2,10583.19,6.3,0
sim-000244,0,group_b,29821.54,0.5493,111.0,2,17334.97,5.9,1
sim-000245,0,group_b,24776.03,0.4118,48.6,1,2379.23,6.8,1
sim-000246,0,group_b,39785.02,0.2918,40.8,2,4545.58,14.7,1
sim-000247,0,group_a,45382.5,0.3413,112.0,3,6820.28,5.9,0
sim-000248,0,group_a,45082.99,0.3173,64.5,3,8575.79,3.7,1
sim-000249,0,group_a,34832.12,0.3446,65.4,1,20891.99,5.7,0
sim-000250,0,group_b,36932.97,0.2589,34.9,1,13270.31,20.5,0
sim-000251,0,group_b,38080.42,0.3646,37.4,0,10179.33,5.2,1
sim-000252,0,group_a,39786.64,0.3672,41.7,3,3994.12,1.0,0
sim-000253,0,group_a,41293.14,0.1536,51.3,0,8126.46,17.8,0
sim-000254,0,group_a,54702.8,0.4585,52.1,2,12233.92,6.7,1
sim-000255,0,group_b,35372.65,0.2165,22.2,1,4633.88,3.5,0
sim-000256,0,group_b,24512.6,0.1396,91.7,1,6606.98,4.2,1
sim-000257,0,group_a,32513.07,0.6272,143.8,0,7540.19,3.2,0
sim-000258,0,group_a,47409.98,0.2363,34.9,1,5777.98,1.8,0
sim-000259,0,group_b,16312.03,0.2832,62.0,2,11578.78,10.9,0
sim-000260,0,group_a,16351.65,0.4988,99.2,1,12526.02,9.1,0
sim-000261,0,group_b,50801.24,0.1885,108.4,0,5343.74,2.6,0
sim-000262,0,group_a,65411.38,0.2018,50.0,0,4778.18,4.3,0
sim-000263,0,group_a,20304.87,0.2679,4.4,1,7817.8,12.1,0
sim-000264,0,group_b,36033.09,0.2954,101.9,1,9641.13,2.8,1
sim-000265,0,group_a,29207.8,0.15,31.0,1,20870.12,2.6,0
sim-000266,0,group_a,30960.0,0.3229,12.7,1,8184.58,10.3,1
sim-000267,0,group_a,39274.2,0.4865,51.2,0,6740.32,6.0,0
sim-000268,0,group_a,20070.26,0.3297,149.9,1,5480.41,14.0,0
sim-000269,0,group_a,21697.85,0.238,63.7,0,8839.42,8.9,0
sim-000270,0,group_a,30438.83,0.1295,177.7,0,7093.56,6.4,0
sim-000271,0,group_a,32498.27,0.5124,32.5,1,11966.67,2.2,0
sim-000272,0,group_a,21527.77,0.3991,46.1,2,9008.64,14.7,0
sim-000273,0,group_b,48129.57,0.6513,90.3,2,7725.93,11.1,1
sim-000274,0,group_b,28987.63,0.3863,111.9,0,5077.8,8.2,0
sim-000275,0,group_a,28935.85,0.2366,80.7,0,10075.42,10.7,0
sim-000276,0,group_a,38898.72,0.22,49.5,3,7504.83,3.9,0
sim-000277,0,group_a,32723.82,0.0362,174.7,0,11425.93,4.6,0
sim-000278,0,group_b,49106.18,0.2247,59.8,3,3952.54,1.4,1
sim-000279,0,group_b,23340.9,0.4562,48.9,2,9431.2,6.5,1
sim-000280,0,group_a,19208.3,0.2214,76.3,0,11865.15,2.7,1
sim-000281,0,group_a,30329.9,0.4076,94.3,1,8297.73,3.8,1
sim-000282,0,group_a,35429.47,0.2405,46.5,1,12312.86,0.8,1
sim-000283,0,group_a,20514.4,0.4766,35.3,0,9970.54,12.3,0
sim-000284,0,group_a,19286.17,0.2057,100.5,3,5955.8,9.1,0
sim-000285,0,group_a,37293.15,0.5235,11.8,2,4551.57,1.4,0
sim-000286,0,group_a,25127.85,0.3787,36.2,1,13250.63,10.1,0
sim-000287,0,group_a,18768.69,0.2171,36.1,1,6096.77,3.9,0
sim-000288,0,group_a,51815.43,0.194,46.1,2,7613.13,2.2,0
sim-000289,0,group_a,26493.28,0.4251,97.7,1,6213.74,2.7,1
sim-000290,0,group_b,55989.58,0.5482,104.9,2,13761.97,6.7,0
sim-000291,0,group_a,34959.93,0.2213,62.2,0,2606.87,12.0,0
sim-000292,0,group_b,39096.91,0.3961,120.5,1,12646.58,1.4,0
sim-000293,0,group_a,31608.14,0.3661,140.3,0,6195.54,10.5,0
sim-000294,0,group_b,11325.72,0.2108,56.5,1,23247.75,4.1,1
sim-000295,0,group_b,21430.06,0.7242,85.3,5,12810.05,7.9,0
sim-000296,0,group_b,32767.81,0.2991,41.9,1,5415.97,1.8,1
sim-000297,0,group_b,40262.92,0.4854,20.2,2,17691.99,3.1,0
sim-000298,0,group_b,16290.49,0.4288,62.1,1,5889.35,4.1,1
sim-000299,0,group_b,33775.38,0.5833,70.0,0,10874.23,3.1,1
sim-000300,0,group_b,21561.17,0.4848,82.0,1,10152.36,8.5,0
sim-000301,0,group_a,38121.76,0.0686,61.7,2,24188.98,4.7,1
sim-000302,0,group_a,34264.04,0.1914,25.4,1,5047.62,3.8,0
sim-000303,0,group_a,47205.74,0.1064,51.1,2,2450.83,6.3,0
sim-000304,0,group_b,54071.67,0.2989,109.5,0,4510.61,6.1,0
sim-000305,0,group_a,41888.88,0.2653,27.3,1,8153.27,6.1,0
sim-000306,0,group_a,49581.12,0.5458,60.8,0,4773.91,6.9,0
sim-000307,0,group_b,29817.66,0.3925,48.2,3,4026.48,19.0,0
sim-000308,0,group_a,113064.0,0.5246,53.6,1,6860.29,2.5,0
sim-000309,0,group_a,20704.29,0.1853,102.1,1,12932.64,4.0,1
sim-000310,0,group_a,27676.6,0.2726,157.3,0,1900.89,6.6,0
sim-000311,0,group_a,50441.55,0.1216,44.2,0,8833.21,7.0,1
sim-000312,0,group_a,47388.88,0.1003,30.3,3,8812.58,3.1,0
sim-000313,0,group_a,42391.51,0.3023,37.4,1,12057.96,3.7,0
sim-000314,0,group_a,45873.08,0.5248,36.2,1,4792.68,7.2,0
sim-000315,0,group_a,14398.88,0.3472,63.2,1,19186.29,5.0,1
sim-000316,0,group_a,67339.71,0.2393,101.3,1,8882.89,3.3,0
sim-000317,0,group_b,31709.32,0.3028,51.4,2,9980.77,9.0,0
sim-000318,0,group_a,58295.23,0.295,40.3,2,6230.24,4.0,1
sim-000319,0,group_b,14704.65,0.1994,102.7,0,14238.53,6.9,0
sim-000320,0,group_b,38474.8,0.1832,29.6,1,27748.91,4.5,0
sim-000321,0,group_a,27264.18,0.0531,64.1,0,6901.05,8.8,1
sim-000322,0,group_a,43927.26,0.1368,82.0,3,9239.22,2.6,0
sim-000323,0,group_a,39465.0,0.452,34.0,1,10994.69,12.1,0
sim-000324,0,group_b,40285.23,0.1405,64.4,0,16474.26,14.5,0
sim-000325,0,group_b,22142.29,0.2927,102.2,0,13466.73,2.0,1
sim-000326,0,group_b,33727.64,0.1273,50.1,0,10500.38,11.7,0
sim-000327,0,group_a,32026.85,0.1134,83.1,0,10889.64,9.0,0
sim-000328,0,group_b,42532.77,0.424,24.4,0,12648.57,5.9,0
sim-000329,0,group_a,52339.4,0.1149,41.3,0,13531.52,3.2,0
sim-000330,0,group_b,36798.04,0.1906,33.6,0,13759.65,2.6,0
sim-000331,0,group_a,20211.51,0.0895,55.9,2,6153.94,3.5,0
sim-000332,0,group_b,36141.0,0.3023,39.7,0,32866.37,1.9,0
sim-000333,0,group_b,103430.17,0.2359,130.4,0,9530.99,4.5,0
sim-000334,0,group_a,68962.78,0.4152,74.5,0,10727.82,4.3,1
sim-000335,0,group_b,9904.58,0.4098,32.8,2,13268.0,4.6,0
sim-000336,0,group_a,35475.73,0.5213,48.0,2,10900.93,9.4,1
sim-000337,0,group_b,51097.47,0.2075,48.6,1,13042.93,3.6,0
sim-000338,0,group_a,31997.81,0.3266,103.1,1,6015.39,6.3,0
sim-000339,0,group_b,28474.43,0.1426,78.9,0,8424.13,3.4,0
sim-000340,0,group_a,30880.34,0.2388,62.4,0,8227.51,1.8,0
sim-000341,0,group_b,43561.09,0.1506,80.3,1,13177.11,3.7,1
sim-000342,0,group_b,21325.15,0.2453,109.8,1,8588.69,2.2,0
sim-000343,0,group_b,56911.3,0.5979,171.4,1,9124.81,8.9,0
sim-000344,0,group_b,33741.47,0.3325,142.9,2,9329.11,8.6,0
sim-000345,0,group_b,23325.2,0.4038,67.3,2,16288.81,8.6,1
sim-000346,0,group_b,55394.03,0.0543,53.1,0,2152.8,7.5,0
sim-000347,0,group_a,18052.6,0.4745,74.4,1,10112.63,2.8,0
sim-000348,0,group_b,27359.3,0.1218,93.8,0,6772.22,3.7,0
sim-000349,0,group_a,27170.75,0.5496,44.6,2,3340.18,11.0,0
sim-000350,0,group_b,85004.17,0.2291,69.7,0,4772.42,12.8,0
sim-000351,0,group_a,25907.59,0.3028,75.7,0,4739.8,2.8,1
sim-000352,0,group_a,13973.45,0.3336,132.2,1,6595.5,2.1,0
sim-000353,0,group_a,27055.29,0.4859,39.7,1,5358.77,3.0,0
sim-000354,0,group_a,41828.41,0.4689,24.8,1,8349.58,9.1,0
sim-000355,0,group_a,48017.25,0.2256,23.8,0,12015.76,4.1,0
sim-000356,0,group_b,89872.45,0.2588,103.4,1,8810.88,5.7,0
